City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
376,Havoysund,NO,70.9963,24.6622,30.2,80,75,9.22,light snow
377,Te Anau,NZ,-45.4167,167.7167,62.71,48,1,2.44,clear sky
378,Roura,GF,4.7263,-52.3274,75.99,100,75,2.44,broken clouds
379,Faro,PT,37.0194,-7.9322,64.4,88,75,13.8,broken clouds
380,Okato,NZ,-39.2,173.8833,68.0,68,59,5.99,broken clouds
381,Yulara,AU,-25.2406,130.9889,84.2,21,6,10.36,clear sky
382,Alofi,NU,-19.0595,-169.9187,82.4,69,40,8.05,scattered clouds
383,Melito Di Porto Salvo,IT,37.9222,15.7714,54.0,82,90,8.05,overcast clouds
384,Geraldton,AU,-28.7667,114.6,71.6,73,97,14.97,overcast clouds
385,Kazachinskoye,RU,57.6953,93.2761,32.86,86,83,5.19,broken clouds
386,Kemijarvi,FI,66.7131,27.4306,20.5,96,42,3.0,scattered clouds
387,Agaro,ET,7.85,36.65,64.49,65,63,2.24,broken clouds
388,Deloraine,AU,-41.5333,146.6667,68.0,78,100,3.0,overcast clouds
389,Mildura,AU,-34.2,142.15,80.01,22,4,6.91,clear sky
390,Mangrol,IN,21.1167,70.1167,77.47,75,0,12.03,clear sky
391,Arraial Do Cabo,BR,-22.9661,-42.0278,76.01,64,27,14.36,scattered clouds
392,Balabac,PH,7.9868,117.0645,82.67,73,100,6.67,overcast clouds
393,Ambilobe,MG,-13.2,49.05,72.12,96,50,3.56,light rain
394,Vila Velha,BR,-20.3297,-40.2925,69.8,94,20,3.44,few clouds
395,Meiktila,MM,20.8667,95.8667,81.21,53,0,13.38,clear sky
396,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.03,95,99,0.56,overcast clouds
397,Bandarbeyla,SO,9.4942,50.8122,75.47,62,8,2.66,clear sky
398,Imeni Babushkina,RU,59.7573,43.1285,33.75,95,100,10.07,snow
399,San Jeronimo,PE,-11.9472,-75.2829,49.12,83,100,4.16,overcast clouds
400,Carauari,BR,-4.8828,-66.8958,74.43,95,95,1.7,overcast clouds
401,Aswan,EG,24.0934,32.907,75.56,18,0,8.25,clear sky
402,Santa Fe,AR,-31.6333,-60.7,79.0,72,100,3.0,overcast clouds
403,Qaqortoq,GL,60.7167,-46.0333,35.6,64,75,1.14,broken clouds
404,Afogados Da Ingazeira,BR,-7.7508,-37.6392,73.45,66,100,6.55,overcast clouds
405,Grindavik,IS,63.8424,-22.4338,28.4,100,90,14.97,snow
406,Baker City,US,44.7749,-117.8344,57.2,33,1,27.63,clear sky
407,Iisalmi,FI,63.5592,27.1907,30.2,93,20,3.44,light snow
408,Poum,NC,-20.2333,164.0167,80.2,74,63,23.13,broken clouds
409,Salinas,US,36.6777,-121.6555,57.2,62,1,14.97,clear sky
410,Lokosovo,RU,61.1333,74.8167,30.63,97,100,2.68,overcast clouds
411,Zhucheng,CN,35.9947,119.3975,55.69,28,0,6.42,clear sky
412,Teguldet,RU,57.3064,88.1667,32.47,97,100,4.99,light snow
413,San Patricio,US,28.017,-97.5169,80.6,74,1,10.36,clear sky
414,Kirakira,SB,-10.4544,161.9205,84.4,70,100,11.65,overcast clouds
415,Filingue,NE,14.3521,3.3168,86.16,8,56,6.49,broken clouds
416,Kasungu,MW,-13.0333,33.4833,57.18,91,23,4.09,few clouds
417,Altoona,US,40.5187,-78.3947,63.0,66,88,1.97,overcast clouds
418,Kashi,CN,39.4547,75.9797,42.8,81,40,4.47,scattered clouds
419,Tramandai,BR,-29.9847,-50.1336,73.49,74,2,20.07,clear sky
420,La Libertad,EC,-2.2333,-80.9,74.95,81,98,6.76,overcast clouds
421,Jiaonan,CN,35.8786,119.9753,57.2,24,0,8.95,clear sky
422,Bondo,CD,3.8146,23.6866,72.46,82,100,3.38,overcast clouds
423,Abu Samrah,SY,35.3029,37.1841,61.56,38,99,6.31,overcast clouds
424,Palmer,US,42.1584,-72.3287,59.0,51,75,6.91,broken clouds
425,Pandan,PH,14.0453,124.1694,82.08,63,100,9.66,overcast clouds
426,Padang,ID,-0.9492,100.3543,77.0,94,40,2.3,light rain
427,Strezhevoy,RU,60.7333,77.5889,32.0,86,90,4.47,overcast clouds
428,Nanga Eboko,CM,4.6833,12.3667,74.43,78,100,4.88,overcast clouds
429,Kudahuvadhoo,MV,2.6708,72.8944,82.0,70,18,6.93,few clouds
430,Leh,IN,34.1667,77.5833,24.69,68,100,0.47,overcast clouds
431,Yumen,CN,40.2833,97.2,48.42,25,100,10.07,overcast clouds
432,Carman,CA,49.4992,-98.0016,57.2,26,100,9.22,overcast clouds
433,Inyonga,TZ,-6.7167,32.0667,61.9,97,17,3.96,few clouds
434,Pocatello,US,42.8713,-112.4455,60.8,27,1,17.27,clear sky
435,Haapiti,PF,-17.5667,-149.8667,86.0,58,20,6.91,few clouds
436,Novikovo,RU,51.1537,37.8879,37.24,87,100,15.59,overcast clouds
437,Paka,MY,4.6374,103.4368,82.4,83,40,1.14,scattered clouds
438,Linden,GY,6.0,-58.3,77.0,94,20,4.61,few clouds
439,Isangel,VU,-19.55,169.2667,86.0,70,40,11.5,scattered clouds
440,Chernyshevsk,RU,52.5243,117.0174,42.76,46,7,2.1,clear sky
441,Esperance,AU,-33.8667,121.9,62.6,100,40,6.91,scattered clouds
442,San Cristobal,VE,7.7669,-72.225,78.8,94,40,3.44,scattered clouds
443,Kainantu,PG,-6.2887,145.8655,64.49,92,100,1.68,overcast clouds
444,Khani,GE,41.9563,42.9566,59.0,58,0,10.36,clear sky
445,Constantine,DZ,36.365,6.6147,44.6,81,75,4.61,broken clouds
446,Kaduqli,SD,11.0167,29.7167,81.91,10,11,7.05,few clouds
447,Roma,US,43.2128,-75.4557,55.4,54,1,4.61,clear sky
448,Acapulco,MX,16.8634,-99.8901,82.4,69,40,8.05,scattered clouds
449,Binzhou,CN,37.3667,118.0167,60.01,51,0,7.49,clear sky
450,Skjervoy,NO,70.0311,20.9714,33.28,66,100,13.47,light snow
451,Galesong,ID,-5.3166,119.3661,75.2,94,40,3.44,scattered clouds
452,Huarmey,PE,-10.0681,-78.1522,70.5,86,97,8.23,overcast clouds
453,Locri,IT,38.2414,16.2623,54.0,82,90,8.05,overcast clouds
454,Manggar,ID,-2.8833,108.2667,81.12,81,100,10.51,overcast clouds
455,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.68,97,100,0.69,overcast clouds
456,Taquara,BR,-29.6506,-50.7806,63.0,85,3,5.99,clear sky
457,Makokou,GA,0.5738,12.8642,71.08,97,100,1.48,overcast clouds
458,Anadyr,RU,64.75,177.4833,-7.01,77,0,6.71,clear sky
459,Pimentel,PE,-6.8367,-79.9342,71.6,78,75,16.11,broken clouds
460,Port Macquarie,AU,-31.4333,152.9167,72.0,94,40,5.75,scattered clouds
461,Fukue,JP,32.6881,128.8419,64.4,63,0,3.44,clear sky
462,Yongan,CN,39.6957,113.6871,51.94,41,0,5.41,clear sky
463,Dudinka,RU,69.4058,86.1778,1.92,85,71,8.25,broken clouds
464,Scottsbluff,US,41.8666,-103.6672,53.6,40,1,14.97,clear sky
465,Pelotas,BR,-31.7719,-52.3425,72.0,87,2,1.01,clear sky
466,Warrnambool,AU,-38.3833,142.4833,73.99,55,100,4.0,overcast clouds
467,Antofagasta,CL,-23.65,-70.4,62.6,88,0,5.75,clear sky
468,Kavaratti,IN,10.5669,72.642,83.19,73,68,9.86,heavy intensity rain
469,Kamenka,RU,51.3223,42.7678,47.77,93,82,11.86,broken clouds
470,Hinundayan,PH,10.3523,125.2506,81.16,71,96,6.98,overcast clouds
471,Borzya,RU,50.3833,116.5167,45.95,34,9,7.36,clear sky
472,Gonen,TR,40.1049,27.654,48.2,87,75,20.71,broken clouds
473,Youghal,IE,51.95,-7.8506,41.0,81,20,6.91,few clouds
474,Inirida,CO,3.8653,-67.9239,73.99,96,93,1.86,overcast clouds
475,Opuwo,NA,-18.0607,13.84,69.22,59,18,3.74,few clouds
476,Asau,RO,46.4333,26.4,30.2,86,0,4.61,light snow
477,Labuhan,ID,-6.8844,112.2051,81.9,79,100,10.47,overcast clouds
478,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,75,9.22,light rain
